"","Country","ISO.3166.1.alpha.3","Coal","Oil","Gas","Cement","latitude","longitude"
"80","Guyana","GUY",0,2.501146,0,0.16167,4.860416,-58.93018
"81","Haiti","HTI",0,2.540205,0,0.077537,18.971187,-72.285215
"82","Honduras","HND",0,9.061765,0,0.782411,15.199999,-86.241905
"83","Hong Kong","HKG",12.454231,8.464056,9.975941,0.61058,22.396428,114.109497
"84","Hungary","HUN",7.440498,17.372881,20.895433,0.928787,47.162494,19.503304
"85","Iceland","ISL",0.667573,2.480043,2e-04,0,64.963051,-19.020835
"86","India","IND",1588.060207,603.60216,127.63538,122.908202,20.593684,78.96288
"87","Indonesia","IDN",300.517866,202.578967,74.960878,28.203453,-0.789275,113.921327
"88","Iran","IRN",3.740171,223.676023,453.781453,23.855126,32.427908,53.688046
"89","Iraq","IRQ",0,103.114011,32.49138,5.238919,33.223191,43.679291
"90","Ireland","IRL",3.757762,18.136652,10.951807,1.76964,53.41291,-8.24389
"91","Israel","ISR",15.701249,19.035631,18.846704,1.424515,31.046051,34.851612
"92","Italy","ITA",22.269892,127.28358,140.800754,7.059192,41.87194,12.56738
"93","Jamaica","JAM",0.364765,5.759257,0.439123,0.380366,18.109581,-77.297508
"94","Japan","JPN",399.366949,387.85735,222.604846,24.490267,36.204824,138.252924
"95","Jordan","JOR",0.617038,14.713522,7.847415,1.76377,30.585164,36.238414
"96","Kazakhstan","KAZ",181.010491,40.068642,32.208293,4.448138,48.019573,66.923684
"97","Kenya","KEN",1.583859,13.821848,0,2.870128,-0.023559,37.906193
"98","Kiribati","KIR",0,0.069607,0,0,-3.370417,-168.734039
"99","Kosovo","KSV",6.112784,2.090225,0,0.318768,42.602636,20.902977
"100","Kuwait","KWT",0,53.144858,44.022322,1.222415,29.31166,47.481766
"101","Kyrgyzstan","KGZ",3.125244,3.927262,0.653579,0.782616,41.20438,74.766098
"102","Laos","LAO",14.911796,3.526746,0,2.049258,19.85627,102.495496
"103","Latvia","LVA",0.098523,4.170118,2.103025,0.550832,56.879635,24.603189
"104","Lebanon","LBN",0.493054,21.84848,0,2.133613,33.854721,35.862285
"105","Lesotho","LSO",1.50173,0.686314,0,0,-29.609988,28.233608
"106","Liberia","LBR",0,0.995636,0,0.131748,6.428055,-9.429499
"107","Libya","LBY",0,37.008161,15.278978,1.627471,26.3351,17.228331
"108","Liechtenstein","LIE",0,0.093475,0.048521,0,47.166,9.555373
"109","Lithuania","LTU",0.621598,8.021318,4.242133,0.556685,55.169438,23.881275
"110","Luxembourg","LUX",0.237493,5.94124,1.469367,0.399139,49.815273,6.129583
"111","Madagascar","MDG",1.365766,2.545693,0,0.089123,-18.766947,46.869107
"112","Malawi","MWI",0.210943,1.166499,0,0.094161,-13.254308,34.301525
"113","Malaysia","MYS",94.558656,70.517073,76.509741,13.368605,4.210484,101.975766
"114","Maldives","MDV",0,2.061136,0,0,3.202778,73.22068
"115","Mali","MLI",0,3.54087,0,0.387493,17.570692,-3.996166
"116","Malta","MLT",0,0.863125,0.736261,0,35.937496,14.375416
"117","Marshall Islands","MHL",0,0.154682,0,0,7.131474,171.184478
"118","Martinique","MTQ",0,2.100146,0,0,14.641528,-61.024174
"119","Mauritania","MRT",0,3.855281,0,0,21.00789,-10.940835
